driver_id,driver_code,first_name,last_name,licence_class,home_facility_id,carrier_id,hire_date,fatigue_accreditation,is_active
34,D00034,Ruby,Horvat,MC,20,2,2018-06-19,BFM,1
35,D00035,Mateo,Smith,MC,45,4,2015-03-28,AFM,1
36,D00036,Oliver,Kaufusi,HR,45,1,2016-12-29,Standard,1
37,D00037,Mei,O'Brien,MR,43,9,2016-03-01,Standard,1
38,D00038,Mateo,O'Brien,LR,11,4,2019-04-27,BFM,1
39,D00039,Olivia,Kumar,HR,21,5,2019-04-06,BFM,1
40,D00040,Dmitri,Wang,HR,35,10,2023-11-30,BFM,1
41,D00041,Oliver,Smith,HC,12,1,2019-05-13,AFM,1
42,D00042,Wei,Ryan,MC,30,1,2022-08-15,Standard,1
43,D00043,Katya,Costa,HC,36,10,2015-03-03,AFM,1
44,D00044,Dmitri,Tuiletufuga,MR,32,4,2018-08-01,AFM,1
45,D00045,Mateo,Tuiletufuga,HR,1,8,2017-10-22,AFM,1
46,D00046,Katya,Tuiletufuga,HC,42,9,2022-12-08,AFM,1
47,D00047,Grace,Kaur,HR,47,7,2016-02-25,BFM,1
48,D00048,Mason,Jones,MC,19,7,2021-04-25,AFM,1
49,D00049,Kai,Costa,HR,8,7,2015-06-29,BFM,1
50,D00050,Isla,Smith,HC,27,1,2020-09-28,Standard,1
51,D00051,Elena,Anderson,MC,40,9,2021-02-17,BFM,1
52,D00052,Chloe,Ryan,MC,36,1,2020-07-18,BFM,1
53,D00053,Anahera,Kaur,MR,45,9,2024-01-18,AFM,1
54,D00054,Elena,Martin,HC,15,9,2021-04-09,BFM,1
55,D00055,Hamish,Singh,LR,23,1,2020-01-23,Standard,1
56,D00056,Tahlia,Kaur,HR,47,1,2022-07-19,BFM,1
57,D00057,William,Kumar,HR,6,5,2023-10-07,AFM,1
58,D00058,Ethan,Ferreira,LR,39,10,2021-12-31,BFM,1
59,D00059,Liam,Tuiletufuga,HR,45,10,2023-05-08,AFM,1
60,D00060,William,Wilson,HR,16,1,2018-12-24,Standard,1
61,D00061,Ana,Thompson,LR,44,8,2024-05-26,Standard,1
62,D00062,Olivia,Patel,HC,9,7,2023-11-17,AFM,1
63,D00063,Thomas,Kumar,LR,9,6,2020-11-03,Standard,1
64,D00064,Hamish,Thompson,MR,4,4,2022-03-15,Standard,1
65,D00065,Thomas,Chen,MC,47,8,2015-04-25,Standard,1
66,D00066,Ruby,Martin,MC,13,8,2021-12-03,Standard,1
67,D00067,Nikau,Martin,HR,28,4,2022-01-21,Standard,1
68,D00068,Mia,Rossi,LR,24,8,2024-02-07,BFM,1
69,D00069,Amelia,Kaufusi,MC,26,5,2018-10-01,Standard,1
70,D00070,Anahera,Brown,MC,3,2,2022-10-02,BFM,1
71,D00071,Sione,Ferreira,MC,37,1,2019-01-19,Standard,1
72,D00072,Ruby,O'Brien,MC,30,2,2016-01-02,BFM,1
73,D00073,Charlotte,Wilson,LR,41,8,2023-10-05,Standard,1
74,D00074,Oliver,Rossi,HR,33,2,2020-01-08,AFM,1
75,D00075,Jack,Anderson,MC,9,4,2019-02-12,BFM,1
76,D00076,Amelia,Patel,MC,18,10,2023-02-16,Standard,1
77,D00077,Ruby,Horvat,HC,1,1,2020-11-14,BFM,1
78,D00078,Sione,Williams,MC,35,9,2019-01-19,Standard,1
79,D00079,Mason,Ahmed,HR,2,10,2017-06-28,Standard,1
80,D00080,Nikau,Patel,HC,47,4,2015-03-25,Standard,1
81,D00081,Yusuf,Jones,HC,48,2,2018-06-17,BFM,1
82,D00082,Ethan,Horvat,HC,35,1,2019-05-18,BFM,1
83,D00083,Thomas,Horvat,HC,16,10,2017-08-09,AFM,1
84,D00084,Isla,Kaur,HR,25,2,2018-07-22,BFM,1
85,D00085,Dmitri,Thompson,HC,21,7,2017-05-31,Standard,1
86,D00086,Olivia,Anderson,MC,22,1,2016-04-03,BFM,1
87,D00087,Charlotte,Ferreira,MC,35,1,2015-08-25,Standard,1
88,D00088,Noah,Brown,HC,32,1,2021-04-11,Standard,1
89,D00089,Charlotte,Chen,HR,33,9,2016-01-18,BFM,1
90,D00090,Dmitri,Costa,HR,24,2,2024-06-01,BFM,1
91,D00091,Oliver,Nguyen,HC,15,1,2019-05-13,AFM,1
92,D00092,Elena,Chen,MC,12,6,2020-08-14,Standard,1
93,D00093,Dmitri,Kelly,HR,40,8,2023-08-27,BFM,1
94,D00094,Jack,Patel,LR,29,8,2019-08-28,BFM,1
95,D00095,Amelia,Williams,MC,25,1,2019-03-01,BFM,1
96,D00096,Ruby,Jones,MC,1,3,2024-06-23,AFM,1
97,D00097,Katya,Kaufusi,HR,15,7,2017-11-28,AFM,1
98,D00098,Grace,Brown,HR,41,9,2022-08-18,BFM,1
99,D00099,Mia,O'Brien,MR,33,1,2016-06-19,BFM,1
100,D00100,Elena,Kelly,HR,32,7,2022-01-21,AFM,1
101,D00101,Isla,Nguyen,HR,43,9,2016-08-19,BFM,1
102,D00102,Mason,Kaur,HR,24,3,2024-01-07,AFM,1
103,D00103,Charlotte,Nikolic,HC,27,9,2019-10-25,AFM,1
104,D00104,Henry,Jones,HC,46,9,2016-05-17,BFM,1
105,D00105,Rangi,Murphy,MC,13,4,2017-04-13,Standard,1
106,D00106,Ethan,Thompson,HR,30,5,2022-09-25,AFM,1
107,D00107,Darcy,Rahman,HC,5,8,2022-08-28,AFM,1
108,D00108,Yusuf,Singh,HC,37,5,2020-06-13,Standard,1
109,D00109,Mason,Taylor,HC,44,4,2020-01-27,Standard,1
110,D00110,Yusuf,Nguyen,MC,35,6,2023-12-12,BFM,1
111,D00111,Charlotte,Rossi,HC,19,1,2023-04-26,BFM,1
112,D00112,Mia,Chen,HR,9,2,2021-06-13,AFM,1
113,D00113,Isla,Kaur,HR,20,4,2017-06-24,BFM,1
114,D00114,Sione,Papadopoulos,HR,13,10,2023-04-22,Standard,1
115,D00115,Dmitri,Brown,HR,32,2,2019-11-13,AFM,1
116,D00116,Sophie,Murphy,HC,38,1,2018-01-29,Standard,1
117,D00117,Jack,Wilson,HR,2,1,2015-06-17,Standard,1
118,D00118,Ana,Thompson,MC,20,1,2015-10-09,BFM,1
119,D00119,Aisha,Rahman,LR,30,1,2024-01-22,Standard,1
120,D00120,Anahera,Papadopoulos,HR,46,1,2018-11-19,Standard,1
121,D00121,Ana,Brown,HR,39,4,2017-12-22,Standard,1
122,D00122,Isla,Ferreira,MC,40,9,2023-03-02,AFM,1
123,D00123,Anahera,Chen,HR,4,2,2017-10-24,Standard,1
124,D00124,Noah,Costa,MR,1,1,2015-11-20,AFM,1
125,D00125,Olivia,Martin,MC,9,8,2022-12-04,Standard,1
126,D00126,Rangi,Patel,MC,20,6,2020-04-14,BFM,1
127,D00127,Isla,Kaur,MC,14,1,2020-02-05,AFM,1
128,D00128,Charlotte,Kelly,MC,43,3,2016-08-15,Standard,1
129,D00129,Sione,Martin,HC,37,9,2016-03-29,Standard,1
130,D00130,Amelia,Nguyen,HR,31,1,2018-09-09,AFM,1
131,D00131,Amelia,Ferreira,MC,12,1,2017-08-22,Standard,1
132,D00132,Sophie,Nguyen,MC,15,2,2019-12-16,Standard,1
133,D00133,Priya,Jones,LR,2,3,2015-03-14,BFM,1
134,D00134,Darcy,Nguyen,MC,47,9,2017-06-23,BFM,1
135,D00135,Liam,Wang,LR,4,2,2018-04-25,BFM,1
136,D00136,Hamish,Smith,MC,29,2,2024-02-25,AFM,1
137,D00137,William,Nguyen,HR,29,10,2018-02-23,Standard,1
138,D00138,Mei,Patel,HR,1,1,2021-10-03,Standard,1
139,D00139,Kai,Ryan,MC,11,4,2021-01-09,Standard,1
140,D00140,Darcy,Wang,HC,36,9,2023-08-24,BFM,1
141,D00141,Mei,Ryan,HC,47,2,2021-10-20,BFM,1
142,D00142,Dmitri,Chen,MR,41,1,2020-04-11,BFM,1
143,D00143,Ruby,Kaur,HR,12,2,2024-06-10,BFM,1
144,D00144,Jack,Jones,HC,36,6,2020-07-02,Standard,1
145,D00145,Wei,Kaufusi,HR,49,2,2018-08-22,Standard,1
146,D00146,Anahera,Tuiletufuga,HC,14,2,2016-05-21,Standard,1
147,D00147,Wei,Chen,MC,32,2,2018-03-06,AFM,1
148,D00148,Katya,Nguyen,MR,35,7,2023-12-12,AFM,1
149,D00149,Oliver,Taylor,MC,21,5,2016-10-09,AFM,1
150,D00150,Elena,Rossi,HC,18,3,2015-06-29,Standard,1
151,D00151,Elena,Rossi,MC,43,1,2021-05-22,Standard,1
152,D00152,Dmitri,Wilson,HR,31,4,2023-03-22,Standard,1
153,D00153,Mateo,Costa,MC,26,5,2024-03-13,Standard,1
154,D00154,Tahlia,Horvat,HC,24,2,2020-06-20,BFM,1
155,D00155,William,Chen,HR,35,2,2020-01-14,BFM,1
156,D00156,Mateo,Kumar,MC,42,10,2022-03-15,BFM,1
157,D00157,Hamish,Papadopoulos,HC,15,1,2020-12-14,Standard,1
158,D00158,Sione,O'Brien,HC,42,10,2020-07-29,BFM,1
159,D00159,Ethan,Thompson,MC,40,10,2019-01-27,Standard,1
160,D00160,Mateo,Kaur,HR,45,3,2015-07-06,BFM,1
161,D00161,Isla,Kumar,HC,29,9,2023-09-12,BFM,1
162,D00162,Yusuf,Ahmed,HR,37,8,2021-01-18,BFM,1
163,D00163,Bridie,Murphy,HC,44,1,2020-03-15,Standard,1
164,D00164,Henry,Kumar,HR,43,2,2019-11-22,Standard,1
165,D00165,Ana,Brown,MC,1,7,2016-04-28,Standard,1
166,D00166,Dmitri,Jones,HR,38,4,2022-05-27,Standard,1
167,D00167,Hamish,Wilson,MC,10,2,2017-06-23,Standard,1
168,D00168,Mia,Kumar,HC,49,10,2023-06-12,Standard,1
169,D00169,William,Ferreira,MC,48,7,2019-11-05,BFM,1
170,D00170,Sione,Wang,HR,11,1,2019-07-28,BFM,1
171,D00171,Priya,Horvat,HR,2,1,2021-12-22,BFM,1
172,D00172,William,Ferreira,HR,17,3,2016-04-23,BFM,1
173,D00173,Chloe,Williams,HR,5,2,2018-10-11,AFM,1
174,D00174,Aisha,Rahman,HC,29,2,2015-12-30,Standard,1
175,D00175,Thomas,Nikolic,HR,49,1,2024-06-19,Standard,1
176,D00176,Aisha,O'Brien,HR,48,4,2020-06-14,Standard,1
177,D00177,Anahera,Patel,HC,42,3,2023-04-21,Standard,1
178,D00178,Aarav,Williams,HC,4,2,2018-06-10,Standard,1
179,D00179,Charlotte,Nguyen,MC,37,2,2023-10-29,Standard,1
180,D00180,Dmitri,Kumar,HC,36,1,2024-06-28,BFM,1
181,D00181,Olivia,Chen,HR,22,1,2019-12-01,Standard,1
182,D00182,Jack,Ferreira,MC,8,5,2020-04-10,BFM,1
183,D00183,Yusuf,Nikolic,HR,13,2,2022-08-18,BFM,1
184,D00184,Wei,Jones,HR,6,8,2017-10-03,Standard,1
185,D00185,Chloe,Brown,HR,25,8,2022-12-26,Standard,1
186,D00186,Isla,Ryan,MR,47,1,2015-04-30,Standard,1
187,D00187,Aarav,Williams,MC,26,1,2016-03-09,BFM,1
188,D00188,Kai,Nguyen,MC,40,4,2016-05-12,BFM,1
189,D00189,Jack,Chen,MC,47,2,2018-09-17,Standard,1
190,D00190,Hamish,Wilson,HC,26,4,2021-01-05,BFM,1
191,D00191,Kai,Horvat,HR,28,1,2022-12-22,Standard,1
192,D00192,Katya,Anderson,LR,33,6,2022-12-09,BFM,1
193,D00193,Sione,Patel,HC,27,4,2020-04-28,BFM,1
194,D00194,Aisha,Williams,MC,10,4,2022-08-09,Standard,1
195,D00195,William,Kaur,HC,6,10,2021-12-29,Standard,1
196,D00196,Charlotte,Wang,HR,23,4,2015-06-09,Standard,1
197,D00197,Mei,Kelly,MC,24,1,2019-10-29,AFM,1
198,D00198,Mei,Rahman,HC,43,3,2015-06-22,AFM,1
199,D00199,Aisha,Thompson,HR,25,3,2016-10-02,BFM,1
200,D00200,Amelia,Murphy,MR,2,1,2015-10-04,AFM,1
201,D00201,Hamish,Kaufusi,MC,4,2,2022-06-04,BFM,1
202,D00202,Hamish,Horvat,HC,34,8,2021-10-29,Standard,1
203,D00203,Isla,Nikolic,LR,49,5,2022-03-08,Standard,1
204,D00204,William,Ferreira,HR,35,1,2019-10-14,Standard,1
205,D00205,Nikau,Rahman,MC,28,2,2023-11-03,Standard,1
206,D00206,Olivia,Smith,HC,21,4,2020-11-03,Standard,1
207,D00207,Isla,Rahman,HC,42,2,2021-12-20,Standard,1
208,D00208,Liam,Wilson,LR,7,1,2022-04-13,AFM,1
209,D00209,Ruby,Jones,HC,16,1,2019-06-09,Standard,1
210,D00210,Anahera,Murphy,HC,48,5,2015-06-02,Standard,1
211,D00211,Sophie,Smith,HR,49,2,2016-09-30,Standard,1
212,D00212,Mateo,Nikolic,HR,14,9,2017-07-22,AFM,1
213,D00213,Wei,Wang,HR,48,1,2020-11-04,Standard,1
214,D00214,Noah,Jones,MC,8,8,2015-12-25,Standard,1
215,D00215,Nikau,Kelly,MC,12,7,2022-06-23,Standard,1
216,D00216,Aarav,Patel,HR,43,9,2019-02-27,BFM,1
217,D00217,Henry,Kumar,LR,27,6,2019-10-14,BFM,1
218,D00218,Kai,Ryan,MC,7,3,2019-03-23,Standard,1
219,D00219,Mason,Brown,MR,7,4,2023-06-19,Standard,1
220,D00220,Mateo,Wang,HR,13,3,2015-09-18,Standard,1
221,D00221,Yusuf,Rossi,MC,36,6,2020-03-01,BFM,1
222,D00222,Mason,Costa,HR,2,10,2018-03-13,AFM,1
223,D00223,Grace,Nguyen,LR,44,2,2016-02-03,AFM,1
224,D00224,Mia,Smith,MC,37,1,2017-02-26,Standard,1
225,D00225,Elena,Kaur,HC,12,2,2023-10-21,BFM,1
226,D00226,Kai,Horvat,HR,25,6,2019-11-16,BFM,1
227,D00227,Sione,Ferreira,MC,15,5,2023-02-08,Standard,1
228,D00228,Olivia,Ferreira,HC,25,2,2019-06-19,BFM,1
229,D00229,Lucas,Ahmed,MC,38,5,2024-04-09,BFM,1
230,D00230,Aisha,Anderson,HC,34,1,2022-10-10,BFM,1
231,D00231,Mason,Rahman,MC,6,1,2018-09-23,BFM,1
232,D00232,Zoe,Taylor,HR,36,5,2023-05-15,Standard,1
233,D00233,Priya,Horvat,MC,26,3,2022-07-24,Standard,1
234,D00234,Lucas,Chen,HR,10,5,2024-01-10,BFM,1
235,D00235,Priya,Martin,MC,9,4,2017-10-12,BFM,1
236,D00236,Darcy,Wilson,HR,13,10,2015-02-17,BFM,1
237,D00237,Hamish,Wang,LR,27,9,2017-01-04,AFM,1
238,D00238,Sophie,Kelly,MR,16,2,2020-07-20,BFM,1
239,D00239,Mei,Kaufusi,HR,40,3,2021-07-26,BFM,1
240,D00240,Elena,Jones,HR,19,9,2024-02-10,AFM,1
241,D00241,Charlotte,Chen,HR,26,3,2024-02-01,AFM,1
242,D00242,Sione,Nikolic,MC,40,2,2016-11-13,BFM,1
243,D00243,Liam,Papadopoulos,HC,15,2,2019-10-30,AFM,1
244,D00244,Katya,Wang,LR,6,8,2021-05-11,BFM,1
245,D00245,Olivia,Ferreira,MR,43,10,2017-09-04,BFM,1
246,D00246,Charlotte,Tuiletufuga,HC,18,1,2022-01-02,BFM,1
247,D00247,Sione,Ferreira,HR,22,6,2019-07-13,BFM,1
248,D00248,Priya,Kaufusi,MC,14,7,2023-06-29,Standard,1
249,D00249,Nikau,Chen,MC,27,1,2022-03-03,AFM,1
250,D00250,Lucas,Tuiletufuga,MC,50,1,2023-04-11,Standard,1
251,D00251,Wei,Kumar,MC,20,1,2021-06-29,BFM,1
252,D00252,Sophie,Kumar,HC,4,2,2023-12-17,AFM,1
253,D00253,Rangi,Anderson,MC,10,1,2021-10-17,Standard,1
254,D00254,Isla,Kaufusi,MC,7,10,2016-03-04,Standard,1
255,D00255,Mason,Williams,HC,14,10,2015-11-13,BFM,1
256,D00256,Mateo,Ryan,MC,33,10,2024-07-17,BFM,1
257,D00257,Bridie,Nikolic,HR,36,2,2021-02-20,Standard,1
258,D00258,Katya,Rahman,HC,28,3,2021-10-27,BFM,1
259,D00259,Aisha,Wang,MC,7,1,2015-03-02,BFM,1
260,D00260,Amelia,Nikolic,HC,47,9,2015-08-09,BFM,1
261,D00261,Ethan,Martin,HC,24,1,2015-05-04,AFM,1
262,D00262,Jack,Wilson,HC,24,3,2017-08-12,Standard,1
263,D00263,Noah,Wilson,HC,19,9,2016-01-12,AFM,1
264,D00264,Grace,Williams,MC,10,8,2024-03-01,Standard,1
265,D00265,Wei,Thompson,HR,9,1,2018-09-27,AFM,1
266,D00266,Bridie,Brown,MR,36,1,2024-04-02,AFM,1
267,D00267,Liam,Anderson,MC,8,2,2016-02-11,AFM,1
268,D00268,Darcy,Singh,HR,40,2,2015-01-03,BFM,1
269,D00269,Sophie,Ferreira,MC,9,5,2021-04-17,AFM,1
270,D00270,Tahlia,Papadopoulos,HR,46,1,2022-01-28,BFM,1
271,D00271,Ethan,Kaufusi,HC,46,7,2023-12-27,AFM,1
272,D00272,Oliver,Kelly,HC,41,1,2024-06-17,Standard,1
273,D00273,Priya,O'Brien,MC,28,10,2019-06-05,Standard,1
274,D00274,Mei,Nikolic,HR,17,5,2021-10-28,Standard,1
275,D00275,Noah,Thompson,HR,9,2,2017-06-03,Standard,1
276,D00276,Yusuf,Nguyen,HC,11,3,2015-09-06,AFM,1
277,D00277,William,Anderson,MC,33,9,2019-03-19,BFM,1
278,D00278,Henry,Smith,HC,12,7,2018-10-18,Standard,1
279,D00279,William,Horvat,HR,7,10,2022-01-28,BFM,1
280,D00280,Olivia,Rahman,HC,47,1,2023-07-10,Standard,1
281,D00281,Dmitri,Patel,HR,43,3,2016-12-18,Standard,1
282,D00282,Jack,Brown,HR,40,3,2016-12-11,Standard,1
283,D00283,Priya,Horvat,MC,24,1,2016-08-30,Standard,1
284,D00284,Isla,Rossi,HR,8,5,2020-05-25,Standard,1
285,D00285,Charlotte,Kaufusi,MC,38,1,2022-03-01,BFM,1
286,D00286,Henry,Tuiletufuga,MC,1,2,2021-02-02,Standard,1
287,D00287,Sione,Martin,MC,25,10,2021-08-06,BFM,1
288,D00288,Elena,Williams,LR,39,6,2024-02-10,Standard,1
289,D00289,Mei,Costa,HC,40,8,2021-08-19,Standard,1
290,D00290,Amelia,Wang,HR,44,5,2016-07-13,Standard,1
291,D00291,Darcy,Taylor,HR,31,7,2016-06-26,Standard,1
292,D00292,Mateo,Patel,MC,3,1,2015-02-21,AFM,1
293,D00293,Bridie,Rahman,HR,13,4,2021-02-19,AFM,1
294,D00294,Wei,Kaur,HC,31,4,2015-09-19,BFM,1
295,D00295,Hamish,Nikolic,HR,37,4,2020-04-16,BFM,1
296,D00296,Rangi,Williams,HC,23,2,2016-03-08,Standard,1
297,D00297,Jack,Rossi,HR,7,2,2018-03-17,BFM,1
298,D00298,Henry,Horvat,LR,34,4,2015-03-13,Standard,1
299,D00299,Zoe,Kelly,HR,32,2,2015-06-23,Standard,1
300,D00300,Sione,Ahmed,HR,29,2,2020-09-07,BFM,1
301,D00301,Kai,Martin,HR,6,5,2017-04-14,BFM,1
302,D00302,Rangi,O'Brien,HR,6,1,2019-03-03,BFM,1
303,D00303,Hamish,Kelly,HR,3,2,2021-11-04,BFM,1
304,D00304,Ethan,Horvat,HR,15,2,2022-12-17,BFM,1
305,D00305,Kai,Ferreira,HR,30,6,2016-08-20,Standard,1
306,D00306,William,Anderson,MC,2,2,2018-04-10,AFM,1
307,D00307,Thomas,Tuiletufuga,MC,26,2,2022-06-21,Standard,1
308,D00308,Charlotte,Patel,HR,39,3,2016-07-29,BFM,1
309,D00309,Wei,Rossi,HR,25,10,2018-04-18,BFM,1
310,D00310,Olivia,Taylor,HC,6,7,2022-03-29,Standard,1
311,D00311,Wei,Patel,HC,3,1,2020-07-23,Standard,1
312,D00312,Bridie,O'Brien,HR,39,2,2018-11-26,Standard,1
313,D00313,Mateo,Kaufusi,HR,39,2,2021-02-26,Standard,1
314,D00314,Zoe,Tuiletufuga,HR,28,5,2023-03-22,BFM,1
315,D00315,Priya,Wang,HR,12,1,2022-12-23,Standard,1
316,D00316,Chloe,Rahman,HR,26,2,2015-01-14,BFM,1
317,D00317,Hamish,O'Brien,HR,19,4,2016-09-14,Standard,1
318,D00318,Ana,Ryan,HR,21,4,2015-05-23,BFM,1
319,D00319,Oliver,Chen,HR,6,7,2018-02-06,AFM,1
320,D00320,Ruby,Martin,MC,4,9,2020-09-12,BFM,1
321,D00321,Aisha,Taylor,HR,33,6,2020-11-12,BFM,1
322,D00322,Oliver,Wilson,HR,50,4,2020-03-07,Standard,1
323,D00323,Bridie,Williams,MC,50,6,2019-08-05,BFM,1
324,D00324,Henry,Wang,HC,10,2,2017-01-20,AFM,1
325,D00325,Hamish,Nguyen,HC,40,8,2017-07-14,BFM,1
326,D00326,Mei,Wang,MC,27,10,2018-01-04,Standard,1
327,D00327,Aisha,Costa,MR,35,4,2018-08-08,BFM,1
328,D00328,Olivia,Ahmed,MR,48,8,2016-02-12,BFM,1
329,D00329,Nikau,Costa,MC,12,5,2015-07-12,BFM,1
330,D00330,Aarav,Kaufusi,MC,42,2,2016-04-06,Standard,1
331,D00331,Wei,Papadopoulos,HC,34,4,2022-10-23,BFM,1
332,D00332,Nikau,Horvat,HR,45,2,2019-06-02,BFM,1
333,D00333,Chloe,Thompson,HR,44,4,2015-05-25,Standard,1
334,D00334,Bridie,Ryan,MC,25,9,2016-04-03,AFM,1
335,D00335,Charlotte,Patel,MC,24,6,2023-03-26,Standard,1
336,D00336,Chloe,Singh,HR,17,5,2019-11-22,Standard,1
337,D00337,William,Costa,MR,36,4,2017-03-21,Standard,1
338,D00338,Isla,Wang,HC,1,4,2016-01-23,BFM,1
339,D00339,Liam,Wang,HC,4,9,2018-04-18,AFM,1
340,D00340,Liam,Ferreira,HC,13,10,2016-10-16,Standard,1
341,D00341,Olivia,Murphy,MR,24,3,2019-06-28,Standard,1
342,D00342,Mason,Chen,HR,17,4,2019-04-20,BFM,1
343,D00343,Kai,Wang,HR,17,9,2016-06-29,Standard,1
344,D00344,Rangi,Wilson,HR,41,3,2020-02-24,Standard,1
345,D00345,Mateo,Ryan,MC,4,5,2019-05-18,BFM,1
346,D00346,Yusuf,O'Brien,HR,36,8,2021-11-24,BFM,1
347,D00347,Isla,Papadopoulos,HC,37,5,2019-11-14,Standard,1
348,D00348,Kai,Chen,MC,38,1,2015-11-05,BFM,1
349,D00349,Noah,Nikolic,HC,12,3,2022-09-08,AFM,1
350,D00350,Thomas,O'Brien,HR,50,4,2023-01-07,Standard,1
351,D00351,Grace,Kaur,HC,15,2,2015-01-16,Standard,1
352,D00352,Zoe,Ryan,HR,15,1,2024-07-05,BFM,1
353,D00353,Liam,Chen,MC,49,1,2022-11-04,BFM,1
354,D00354,Priya,Singh,MR,28,3,2018-04-16,BFM,1
355,D00355,Henry,Smith,MC,25,9,2015-11-27,BFM,1
356,D00356,Bridie,Wang,MC,17,2,2021-08-12,BFM,1
357,D00357,Chloe,Rossi,MC,46,2,2018-09-08,Standard,1
358,D00358,Yusuf,Kaur,HR,37,3,2023-07-27,AFM,1
359,D00359,Ana,Smith,LR,26,6,2016-08-19,AFM,1
360,D00360,Ana,Murphy,HC,28,1,2020-05-31,BFM,1
361,D00361,Mia,Thompson,MC,40,3,2017-11-07,BFM,1
362,D00362,Isla,Horvat,MC,32,5,2020-07-11,BFM,1
363,D00363,Tahlia,Martin,MC,27,10,2016-10-23,Standard,1
364,D00364,William,Kaur,HR,31,2,2015-06-17,Standard,1
365,D00365,Aisha,Singh,HR,7,8,2019-02-21,Standard,1
366,D00366,Charlotte,Murphy,HR,5,9,2017-08-10,BFM,1
367,D00367,Chloe,Murphy,MC,3,3,2021-09-09,Standard,1
368,D00368,Jack,Thompson,HR,32,6,2015-05-05,BFM,1
369,D00369,Amelia,Martin,MC,30,1,2021-11-25,Standard,1
370,D00370,Kai,Martin,LR,17,6,2017-08-07,Standard,1
371,D00371,Grace,Kaufusi,LR,40,9,2018-05-09,Standard,1
372,D00372,Rangi,Ryan,HR,40,3,2021-10-27,BFM,1
373,D00373,Darcy,Tuiletufuga,HR,9,4,2022-07-30,BFM,1
374,D00374,Aisha,Rahman,LR,32,1,2016-01-23,BFM,1
375,D00375,Ana,Nguyen,MR,22,3,2021-10-22,Standard,1
376,D00376,Amelia,Rossi,MC,38,4,2019-07-02,Standard,1
377,D00377,Tahlia,Martin,HC,50,1,2018-05-22,Standard,1
378,D00378,Lucas,Kaufusi,HC,18,9,2017-11-06,BFM,1
379,D00379,Sione,Smith,HR,47,1,2021-09-05,Standard,1
380,D00380,Chloe,Murphy,HR,3,2,2021-03-05,Standard,1
381,D00381,Chloe,Rahman,HR,23,4,2015-08-05,BFM,1
382,D00382,Sophie,Smith,MC,41,7,2021-03-08,Standard,1
383,D00383,Zoe,Chen,HR,41,8,2017-09-05,Standard,1
384,D00384,Dmitri,Smith,HR,37,9,2023-01-20,BFM,1
385,D00385,Aisha,Singh,HC,48,2,2015-08-21,Standard,1
386,D00386,Ruby,Wang,MC,8,2,2020-01-05,Standard,1
387,D00387,Mason,Wang,MR,19,1,2018-01-09,BFM,1
388,D00388,Katya,Papadopoulos,HR,32,6,2019-03-06,BFM,1
389,D00389,Olivia,Ahmed,LR,27,5,2017-01-02,BFM,1
